category	hour	value
Watch	FlappySwift	530
Watch	OpenBird	64
Watch	SprityBird	44
Watch	OpenFlappyBird	15
Watch	clumsy_bird	123
Star	FlappySwift	7649
Star	OpenBird	387
Star	SprityBird	472
Star	OpenFlappyBird	195
Star	clumsy_bird	952
Fork	FlappySwift	2293
Fork	OpenBird	256
Fork	SprityBird	162
Fork	OpenFlappyBird	103
Fork	clumsy_bird	647
Contributors	FlappySwift	13
Contributors	OpenBird	2
Contributors	SprityBird	3
Contributors	OpenFlappyBird	2
Contributors	clumsy_bird	8
Commits	FlappySwift	57
Commits	OpenBird	40
Commits	SprityBird	15
Commits	OpenFlappyBird	32
Commits	clumsy_bird	243
Pull requests	FlappySwift	47
Pull requests	OpenBird	3
Pull requests	SprityBird	4
Pull requests	OpenFlappyBird	1
Pull requests	clumsy_bird	22
Comments	FlappySwift	11.3
Comments	OpenBird	2
Comments	SprityBird	10
Comments	OpenFlappyBird	6
Comments	clumsy_bird	8
Size	FlappySwift	256
Size	OpenBird	324000
Size	SprityBird	504
Size	OpenFlappyBird	1000
Size	clumsy_bird	4100
Language	FlappySwift	11
Language	OpenBird	5
Language	SprityBird	7
Language	OpenFlappyBird	11
Language	clumsy_bird	9
